SPNO,Species_Name,Sex,Size,Chela,Shell_Cond,Egg_Color,Egg_Cond,Clutch,Collection_Comments,ANOM_ID,PCR_result,Year,Index_Site,General_Location,Collected_By,Reference_NO,DNA_Plate_No,DNA_Well_No,Host_Tissue,Preservative,Sample_Status,C_V_H,CRUISE,VESSEL,HAUL,Visual_Positive,Prioritization,DNA_Quant,260_280_Ratio,nSSU_PCR,Faint_Pos,No_Valid_Partitions,No_Positive_Partitions,Copies_ul
20187001,Chionoecetes bairdi,2,64.74,NA,2,0,0,0,NA,NA,NA,2018,3,EBS,SAP,NA,70,A1,Blood,EtOH 100%,Available,201801_94_37,201801,94,37,0,0,NA,NA,NA,NA,NA,NA,NA
20187002,Chionoecetes bairdi,2,47.24,NA,2,0,0,0,NA,NA,NA,2018,3,EBS,SAP,NA,70,B1,Blood,EtOH 100%,Available,201801_94_37,201801,94,37,0,0,NA,NA,NA,NA,NA,NA,NA
20187003,Chionoecetes bairdi,1,38.51,4.35,2,NA,NA,NA,NA,NA,NA,2018,3,EBS,SAP,NA,70,C1,Blood,EtOH 100%,Available,201801_94_38,201801,94,38,0,0,NA,NA,NA,NA,NA,NA,NA
20187004,Chionoecetes bairdi,1,50.07,5.9,2,NA,NA,NA,0.1 mL blood,NA,NA,2018,3,EBS,SAP,NA,70,D1,Blood,EtOH 100%,Available,201801_94_68,201801,94,68,0,0,NA,NA,NA,NA,NA,NA,NA
20187005,Chionoecetes bairdi,1,54.27,6.24,2,NA,NA,NA,0.1 mL blood,NA,NA,2018,3,EBS,SAP,NA,70,E1,Blood,EtOH 100%,Available,201801_94_68,201801,94,68,0,0,NA,NA,NA,NA,NA,NA,NA
20187006,Chionoecetes bairdi,1,44.53,5.14,2,NA,NA,NA,0.1 mL blood,NA,NA,2018,3,EBS,SAP,NA,70,F1,Blood,EtOH 100%,Available,201801_94_68,201801,94,68,0,0,NA,NA,NA,NA,NA,NA,NA
20187007,Chionoecetes bairdi,1,32.85,3.78,2,NA,NA,NA,NA,NA,NA,2018,3,EBS,SAP,NA,70,G1,Blood,EtOH 100%,Available,201801_94_68,201801,94,68,0,0,NA,NA,NA,NA,NA,NA,NA
20187008,Chionoecetes bairdi,1,55.88,7.09,2,NA,NA,NA,NA,NA,NA,2018,3,EBS,SAP,NA,70,H1,Blood,EtOH 100%,Available,201801_94_68,201801,94,68,0,0,NA,NA,NA,NA,NA,NA,NA
20187009,Chionoecetes bairdi,1,34.76,4.1,2,NA,NA,NA,NA,NA,NA,2018,3,EBS,SAP,NA,70,A2,Blood,EtOH 100%,Available,201801_94_68,201801,94,68,0,0,NA,NA,NA,NA,NA,NA,NA
20187010,Chionoecetes bairdi,1,43.11,4.82,2,NA,NA,NA,NA,NA,NA,2018,3,EBS,SAP,NA,70,B2,Blood,EtOH 100%,Available,201801_94_68,201801,94,68,0,0,NA,NA,NA,NA,NA,NA,NA
20187011,Chionoecetes bairdi,1,59.01,8.45,2,NA,NA,NA,NA,NA,NA,2018,3,EBS,SAP,NA,70,C2,Blood,EtOH 100%,Available,201801_94_68,201801,94,68,0,0,NA,NA,NA,NA,NA,NA,NA
20187012,Chionoecetes bairdi,2,60.66,NA,2,0,0,0,NA,NA,NA,2018,3,EBS,SAP,NA,70,D2,Blood,EtOH 100%,Available,201801_94_68,201801,94,68,0,0,NA,NA,NA,NA,NA,NA,NA
20187013,Chionoecetes bairdi,2,63.03,NA,2,0,0,0,NA,NA,NA,2018,3,EBS,SAP,NA,70,E2,Blood,EtOH 100%,Available,201801_94_68,201801,94,68,0,0,NA,NA,NA,NA,NA,NA,NA
20187014,Chionoecetes bairdi,2,55.8,NA,2,0,0,0,NA,387,NA,2018,3,EBS,SAP,NA,70,F2,Blood,EtOH 100%,Available,201801_94_68,201801,94,68,1,0,NA,NA,NA,NA,NA,NA,NA
20187015,Chionoecetes bairdi,1,41.15,22.68,4,NA,NA,NA,NA,NA,NA,2018,3,EBS,SAP,NA,70,G2,Blood,EtOH 100%,Available,201801_94_68,201801,94,68,0,0,NA,NA,NA,NA,NA,NA,NA
20187016,Chionoecetes bairdi,1,111.76,25.04,4,NA,NA,NA,NA,NA,NA,2018,3,EBS,SAP,NA,70,H2,Blood,EtOH 100%,Available,201801_94_68,201801,94,68,0,0,NA,NA,NA,NA,NA,NA,NA
20187017,Chionoecetes bairdi,1,99.23,NA,4,NA,NA,NA,no chela data ,NA,NA,2018,3,EBS,SAP,NA,70,A3,Blood,EtOH 100%,Available,201801_94_68,201801,94,68,0,0,NA,NA,NA,NA,NA,NA,NA
20187018,Chionoecetes bairdi,1,104.12,26.68,4,NA,NA,NA,NA,NA,NA,2018,3,EBS,SAP,NA,70,B3,Blood,EtOH 100%,Available,201801_94_68,201801,94,68,0,0,NA,NA,NA,NA,NA,NA,NA
20187019,Chionoecetes bairdi,1,92.02,15.42,4,NA,NA,NA,NA,NA,NA,2018,3,EBS,SAP,NA,70,C3,Blood,EtOH 100%,Available,201801_94_68,201801,94,68,0,0,NA,NA,NA,NA,NA,NA,NA
20187021,Chionoecetes bairdi,2,48.62,NA,2,0,0,0,NA,NA,NA,2018,3,EBS,SAP,NA,70,E3,Blood,EtOH 100%,Available,201801_94_69,201801,94,69,0,0,NA,NA,NA,NA,NA,NA,NA
20187022,Chionoecetes bairdi,2,41.91,NA,2,0,0,0,NA,NA,NA,2018,3,EBS,SAP,NA,70,F3,Blood,EtOH 100%,Available,201801_94_69,201801,94,69,0,0,NA,NA,NA,NA,NA,NA,NA
20187023,Chionoecetes bairdi,2,31.81,NA,2,0,0,0,0.1 mL blood,NA,NA,2018,3,EBS,SAP,NA,70,G3,Blood,EtOH 100%,Available,201801_94_69,201801,94,69,0,0,NA,NA,NA,NA,NA,NA,NA
20187024,Chionoecetes bairdi,1,101.96,NA,4,NA,NA,NA,no chela data,NA,NA,2018,3,EBS,SAP,NA,70,H3,Blood,EtOH 100%,Available,201801_94_69,201801,94,69,0,0,NA,NA,NA,NA,NA,NA,NA
20187025,Chionoecetes bairdi,1,90.13,16.07,4,NA,NA,NA,NA,NA,NA,2018,3,EBS,SAP,NA,70,A4,Blood,EtOH 100%,Available,201801_94_69,201801,94,69,0,0,NA,NA,NA,NA,NA,NA,NA
20187026,Chionoecetes bairdi,1,101.34,19.84,4,NA,NA,NA,NA,NA,NA,2018,3,EBS,SAP,NA,70,B4,Blood,EtOH 100%,Available,201801_94_69,201801,94,69,0,0,NA,NA,NA,NA,NA,NA,NA
20187027,Chionoecetes bairdi,1,50.77,6.98,2,NA,NA,NA,NA,NA,NA,2018,3,EBS,SAP,NA,70,C4,Blood,EtOH 100%,Available,201801_94_69,201801,94,69,0,0,NA,NA,NA,NA,NA,NA,NA
20187028,Chionoecetes bairdi,1,55.65,6.63,2,NA,NA,NA,NA,NA,NA,2018,3,EBS,SAP,NA,70,D4,Blood,EtOH 100%,Available,201801_94_69,201801,94,69,0,0,NA,NA,NA,NA,NA,NA,NA
20187029,Chionoecetes bairdi,1,54.33,6.36,2,NA,NA,NA,0.1 mL blood,NA,NA,2018,3,EBS,SAP,NA,70,E4,Blood,EtOH 100%,Available,201801_94_69,201801,94,69,0,0,NA,NA,NA,NA,NA,NA,NA
20187030,Chionoecetes bairdi,1,58.49,6.22,2,NA,NA,NA,NA,NA,NA,2018,3,EBS,SAP,NA,70,F4,Blood,EtOH 100%,Available,201801_94_69,201801,94,69,0,0,NA,NA,NA,NA,NA,NA,NA
20187031,Chionoecetes bairdi,1,59.75,7.6,2,NA,NA,NA,NA,NA,NA,2018,3,EBS,SAP,NA,70,G4,Blood,EtOH 100%,Available,201801_94_69,201801,94,69,0,0,NA,NA,NA,NA,NA,NA,NA
20187032,Chionoecetes bairdi,1,51.55,6.03,2,NA,NA,NA,NA,NA,NA,2018,3,EBS,SAP,NA,70,H4,Blood,EtOH 100%,Available,201801_94_69,201801,94,69,0,0,NA,NA,NA,NA,NA,NA,NA
20187033,Chionoecetes bairdi,1,46.11,NA,2,NA,NA,NA,no chela data,NA,NA,2018,3,EBS,SAP,NA,70,A5,Blood,EtOH 100%,Available,201801_94_69,201801,94,69,0,0,NA,NA,NA,NA,NA,NA,NA
20187034,Chionoecetes bairdi,1,98.37,21.65,4,NA,NA,NA,not in Index Station,NA,NA,2018,NA,EBS,SAP,NA,70,B5,Blood,EtOH 100%,Available,201801_94_71,201801,94,71,0,NA,NA,NA,NA,NA,NA,NA,NA
20187035,Chionoecetes bairdi,2,31.02,NA,2,0,0,0,NA,NA,NA,2018,3,EBS,SAP,NA,70,C5,Blood,EtOH 100%,Available,201801_94_73,201801,94,73,0,0,NA,NA,NA,NA,NA,NA,NA
20187036,Chionoecetes bairdi,2,38.77,NA,2,0,0,0,0.1 mL blood,NA,NA,2018,3,EBS,SAP,NA,70,D5,Blood,EtOH 100%,Available,201801_94_73,201801,94,73,0,0,NA,NA,NA,NA,NA,NA,NA
20187037,Chionoecetes bairdi,2,28.68,NA,2,0,0,0,NA,NA,NA,2018,3,EBS,SAP,NA,70,E5,Blood,EtOH 100%,Available,201801_94_73,201801,94,73,0,0,NA,NA,NA,NA,NA,NA,NA
20187038,Chionoecetes bairdi,2,29.45,NA,2,0,0,0,NA,NA,NA,2018,3,EBS,SAP,NA,70,F5,Blood,EtOH 100%,Available,201801_94_73,201801,94,73,0,0,NA,NA,NA,NA,NA,NA,NA
20187040,Chionoecetes bairdi,2,31.37,NA,2,0,0,0,NA,NA,NA,2018,3,EBS,SAP,NA,70,H5,Blood,EtOH 100%,Available,201801_94_73,201801,94,73,0,0,NA,NA,NA,NA,NA,NA,NA
20187041,Chionoecetes bairdi,1,38.77,4.44,2,NA,NA,NA,NA,NA,NA,2018,3,EBS,SAP,NA,70,A6,Blood,EtOH 100%,Available,201801_94_73,201801,94,73,0,0,NA,NA,NA,NA,NA,NA,NA
20187042,Chionoecetes bairdi,1,36.97,NA,2,NA,NA,NA,no chela data,NA,NA,2018,3,EBS,SAP,NA,70,B6,Blood,EtOH 100%,Available,201801_94_73,201801,94,73,0,0,NA,NA,NA,NA,NA,NA,NA
20187043,Chionoecetes bairdi,1,30.54,4.4,2,NA,NA,NA,0.1 mL blood,NA,NA,2018,3,EBS,SAP,NA,70,C6,Blood,EtOH 100%,Available,201801_94_73,201801,94,73,0,0,NA,NA,NA,NA,NA,NA,NA
20187044,Chionoecetes bairdi,1,32.05,4.11,2,NA,NA,NA,NA,NA,NA,2018,3,EBS,SAP,NA,70,D6,Blood,EtOH 100%,Available,201801_94_73,201801,94,73,0,0,NA,NA,NA,NA,NA,NA,NA
20187045,Chionoecetes bairdi,1,35.03,4.45,2,NA,NA,NA,NA,NA,NA,2018,3,EBS,SAP,NA,70,E6,Blood,EtOH 100%,Available,201801_94_73,201801,94,73,0,0,NA,NA,NA,NA,NA,NA,NA
20187046,Chionoecetes bairdi,1,100.03,18.55,4,NA,NA,NA,NA,NA,NA,2018,3,EBS,SAP,NA,70,F6,Blood,EtOH 100%,Available,201801_94_72,201801,94,72,0,0,NA,NA,NA,NA,NA,NA,NA
20187047,Chionoecetes bairdi,1,35.04,4.69,2,NA,NA,NA,0.1 mL blood,NA,NA,2018,3,EBS,SAP,NA,70,G6,Blood,EtOH 100%,Available,201801_94_72,201801,94,72,0,0,NA,NA,NA,NA,NA,NA,NA
20187048,Chionoecetes bairdi,1,28.94,3.73,2,NA,NA,NA,0.1 mL blood,NA,NA,2018,3,EBS,SAP,NA,70,H6,Blood,EtOH 100%,Available,201801_94_72,201801,94,72,0,0,NA,NA,NA,NA,NA,NA,NA
20187049,Chionoecetes bairdi,1,31.34,3.57,2,NA,NA,NA,NA,NA,NA,2018,3,EBS,SAP,NA,70,A7,Blood,EtOH 100%,Available,201801_94_72,201801,94,72,0,0,NA,NA,NA,NA,NA,NA,NA
20187050,Chionoecetes opilio,2,59.56,NA,2,0,0,0,NA,NA,0,2018,5,EBS,SAP,NA,70,B7,Blood,EtOH 100%,Available,201801_94_103,201801,94,103,0,1,7.7,1.61,1,NA,8285,0,0
20187051,Chionoecetes opilio,2,46.27,NA,2,0,0,0,NA,NA,1,2018,5,EBS,SAP,NA,70,C7,Blood,EtOH 100%,Available,201801_94_103,201801,94,103,0,1,12.6,1.76,0,NA,8257,8245,19558.1
20187052,Chionoecetes opilio,2,48.53,NA,2,0,0,0,NA,NA,0,2018,5,EBS,SAP,NA,70,D7,Blood,EtOH 100%,Available,201801_94_103,201801,94,103,0,1,3.1,1.94,1,NA,8280,0,0
20187053,Chionoecetes opilio,2,45.21,NA,2,0,0,0,NA,NA,0,2018,5,EBS,SAP,NA,70,E7,Blood,EtOH 100%,Available,201801_94_103,201801,94,103,0,1,10.7,2.01,1,NA,8271,0,0
20187054,Chionoecetes opilio,2,44.96,NA,2,0,0,0,NA,NA,0,2018,5,EBS,SAP,NA,70,F7,Blood,EtOH 100%,Available,201801_94_103,201801,94,103,0,1,5.4,1.94,1,NA,8270,1,0.367
