SPNO,Species_Name,Sex,Size,Chela,Shell_Cond,Egg_Color,Egg_Cond,Clutch,Collection_Comments,ANOM_ID,PCR_result,Year,Index_Site,General_Location,Collected_By,Reference_NO,DNA_Plate_No,DNA_Well_No,Host_Tissue,Preservative,Sample_Status,C_V_H,CRUISE,VESSEL,HAUL,Visual_Positive,Prioritization,DNA_Quant,260_280_Ratio,nSSU_PCR,Faint_Pos,No_Valid_Partitions,No_Positive_Partitions,Copies_ul
20187055,Chionoecetes opilio,2,43.42,NA,2,0,0,0,NA,NA,0,2018,5,EBS,SAP,NA,70,G7,Blood,EtOH 100%,Available,201801_94_103,201801,94,103,0,1,28.8,1.83,1,NA,8275,0,0
20187056,Chionoecetes opilio,2,41.35,NA,2,0,0,0,NA,NA,0,2018,5,EBS,SAP,NA,70,H7,Blood,EtOH 100%,Available,201801_94_103,201801,94,103,0,1,7.6,1.98,1,NA,8279,0,0
20187057,Chionoecetes opilio,2,47.42,NA,2,0,0,0,NA,387,0,2018,5,EBS,SAP,NA,70,A8,Blood,EtOH 100%,Available,201801_94_103,201801,94,103,1,1,3.8,2.4,1,NA,8256,0,0
20187058,Chionoecetes opilio,2,42.71,NA,2,0,0,0,NA,NA,NA,2018,5,EBS,SAP,NA,70,B8,Blood,EtOH 100%,Available,201801_94_103,201801,94,103,0,0,NA,NA,NA,NA,NA,NA,NA
20187059,Chionoecetes opilio,1,53.41,8.98,2,NA,NA,NA,NA,NA,NA,2018,5,EBS,SAP,NA,70,C8,Blood,EtOH 100%,Available,201801_94_103,201801,94,103,0,0,NA,NA,NA,NA,NA,NA,NA
20187060,Chionoecetes opilio,2,50.88,NA,2,0,0,0,NA,NA,NA,2018,5,EBS,SAP,NA,70,D8,Blood,EtOH 100%,Available,201801_94_103,201801,94,103,0,0,NA,NA,NA,NA,NA,NA,NA
20187062,Chionoecetes opilio,1,56.99,13.25,2,NA,NA,NA,NA,NA,NA,2018,5,EBS,SAP,NA,70,F8,Blood,EtOH 100%,Available,201801_94_103,201801,94,103,0,0,NA,NA,NA,NA,NA,NA,NA
20187063,Chionoecetes opilio,1,60.77,11.1,2,NA,NA,NA,NA,NA,NA,2018,5,EBS,SAP,NA,70,G8,Blood,EtOH 100%,Available,201801_94_103,201801,94,103,0,0,NA,NA,NA,NA,NA,NA,NA
20187064,Chionoecetes opilio,1,51.54,10.67,2,NA,NA,NA,NA,NA,NA,2018,5,EBS,SAP,NA,70,H8,Blood,EtOH 100%,Available,201801_94_103,201801,94,103,0,0,NA,NA,NA,NA,NA,NA,NA
20187065,Chionoecetes opilio,1,47.77,7.32,2,NA,NA,NA,NA,NA,NA,2018,5,EBS,SAP,NA,70,A9,Blood,EtOH 100%,Available,201801_94_103,201801,94,103,0,0,NA,NA,NA,NA,NA,NA,NA
20187066,Chionoecetes opilio,1,43.62,7.46,2,NA,NA,NA,0.1 mL blood,NA,NA,2018,5,EBS,SAP,NA,70,B9,Blood,EtOH 100%,Available,201801_94_103,201801,94,103,0,0,NA,NA,NA,NA,NA,NA,NA
20187067,Chionoecetes opilio,1,41.9,7.41,2,NA,NA,NA,NA,NA,NA,2018,5,EBS,SAP,NA,70,C9,Blood,EtOH 100%,Available,201801_94_103,201801,94,103,0,0,NA,NA,NA,NA,NA,NA,NA
20187068,Chionoecetes opilio,1,40.68,6.59,2,NA,NA,NA,NA,NA,NA,2018,5,EBS,SAP,NA,70,D9,Blood,EtOH 100%,Available,201801_94_103,201801,94,103,0,0,NA,NA,NA,NA,NA,NA,NA
20187069,Chionoecetes opilio,1,48.14,8.41,2,NA,NA,NA,NA,NA,NA,2018,5,EBS,SAP,NA,70,E9,Blood,EtOH 100%,Available,201801_94_103,201801,94,103,0,0,NA,NA,NA,NA,NA,NA,NA
20187070,Chionoecetes opilio,1,42.78,6.9,2,NA,NA,NA,NA,NA,NA,2018,5,EBS,SAP,NA,70,F9,Blood,EtOH 100%,Available,201801_94_103,201801,94,103,0,0,NA,NA,NA,NA,NA,NA,NA
20187071,Chionoecetes opilio,1,70.15,16.57,2,NA,NA,NA,NA,NA,0,2018,6,EBS,SAP,NA,70,G9,Blood,EtOH 100%,Available,201801_94_117,201801,94,117,0,1,5.1,1.49,1,NA,8254,3,1.091
20187072,Chionoecetes opilio,1,76.52,16.61,2,NA,NA,NA,NA,NA,0,2018,6,EBS,SAP,NA,70,H9,Blood,EtOH 100%,Available,201801_94_117,201801,94,117,0,1,5.5,1.57,1,NA,8279,0,0
20187073,Chionoecetes opilio,1,74.97,17.06,2,NA,NA,NA,NA,NA,0,2018,6,EBS,SAP,NA,70,A10,Blood,EtOH 100%,Available,201801_94_117,201801,94,117,0,1,15.7,1.91,1,NA,8276,0,0
20187075,Chionoecetes opilio,1,71.7,NA,2,NA,NA,NA,blood sample might be in control well: B10,NA,NA,2018,6,EBS,SAP,NA,70,C10,Blood,EtOH 100%,Available,201801_94_117,201801,94,117,0,0,NA,NA,NA,NA,NA,NA,NA
20187076,Chionoecetes opilio,1,71.21,16.85,2,NA,NA,NA,NA,NA,0,2018,6,EBS,SAP,NA,70,D10,Blood,EtOH 100%,Available,201801_94_117,201801,94,117,0,1,3.2,1.98,1,NA,8274,0,0
20187077,Chionoecetes opilio,1,65.27,14.43,2,NA,NA,NA,NA,NA,0,2018,6,EBS,SAP,NA,70,E10,Blood,EtOH 100%,Available,201801_94_117,201801,94,117,0,1,7.9,1.37,1,NA,8280,0,0
20187078,Chionoecetes opilio,1,58.22,17.74,2,NA,NA,NA,NA,NA,0,2018,6,EBS,SAP,NA,70,F10,Blood,EtOH 100%,Available,201801_94_117,201801,94,117,0,1,11.9,1.76,1,NA,8269,0,0
20187079,Chionoecetes opilio,1,64.7,14.29,3,NA,NA,NA,NA,NA,0,2018,6,EBS,SAP,NA,70,G10,Blood,EtOH 100%,Available,201801_94_117,201801,94,117,0,1,5,1.84,1,NA,8262,0,0
20187080,Chionoecetes opilio,1,75.74,16.77,3,NA,NA,NA,NA,NA,0,2018,6,EBS,SAP,NA,70,H10,Blood,EtOH 100%,Available,201801_94_117,201801,94,117,0,1,12.1,1.76,1,NA,8250,0,0
20187081,Chionoecetes opilio,1,71.96,15.65,3,NA,NA,NA,NA,NA,1,2018,6,EBS,SAP,NA,70,A11,Blood,EtOH 100%,Available,201801_94_117,201801,94,117,0,1,18.3,1.76,1,F,8286,1,0.361
20187082,Chionoecetes opilio,1,64.13,13.18,3,NA,NA,NA,NA,NA,0,2018,6,EBS,SAP,NA,70,B11,Blood,EtOH 100%,Available,201801_94_117,201801,94,117,0,1,7.6,1.78,1,NA,8258,0,0
20187083,Chionoecetes opilio,1,74.93,15.85,4,NA,NA,NA,left chela claw data,NA,0,2018,6,EBS,SAP,NA,70,C11,Blood,EtOH 100%,Available,201801_94_117,201801,94,117,0,1,13.5,1.81,1,NA,8262,0,0
20187084,Chionoecetes opilio,1,87.63,16.32,4,NA,NA,NA,NA,NA,0,2018,6,EBS,SAP,NA,70,D11,Blood,EtOH 100%,Available,201801_94_117,201801,94,117,0,1,6.1,1.27,1,NA,8279,0,0
20187085,Chionoecetes opilio,1,65.66,16.81,4,NA,NA,NA,NA,NA,0,2018,6,EBS,SAP,NA,70,E11,Blood,EtOH 100%,Available,201801_94_117,201801,94,117,0,1,2.9,2.18,1,NA,8261,1,0.378
20187086,Chionoecetes opilio,1,84.96,20.88,2,NA,NA,NA,NA,NA,0,2018,6,EBS,SAP,NA,70,F11,Blood,EtOH 100%,Available,201801_94_133,201801,94,133,0,1,10.3,1.64,1,NA,8285,0,0
20187087,Chionoecetes opilio,1,73.15,17.33,3,NA,NA,NA,NA,NA,0,2018,6,EBS,SAP,NA,70,G11,Blood,EtOH 100%,Available,201801_94_133,201801,94,133,0,1,10.8,1.69,1,NA,8252,0,0
20187088,Chionoecetes opilio,1,56.83,11.88,2,NA,NA,NA,NA,NA,0,2018,6,EBS,SAP,NA,70,H11,Blood,EtOH 100%,Available,201801_94_133,201801,94,133,0,1,8.4,1.74,1,NA,8254,0,0
20187090,Chionoecetes opilio,1,60.96,13.15,4,NA,NA,NA,NA,NA,0,2018,6,EBS,SAP,NA,70,B12,Blood,EtOH 100%,Available,201801_94_133,201801,94,133,0,1,4.1,1.61,1,NA,8278,0,0
20187091,Chionoecetes opilio,1,79.02,17.82,4,NA,NA,NA,NA,NA,0,2018,6,EBS,SAP,NA,70,C12,Blood,EtOH 100%,Available,201801_94_133,201801,94,133,0,1,3,1.7,1,NA,8286,0,0
20187092,Chionoecetes opilio,1,88.7,22.91,2,NA,NA,NA,bld samples swapped on plate - correct data here,NA,NA,2018,6,EBS,SAP,NA,70,D12,Blood,EtOH 100%,Available,201801_94_133,201801,94,133,0,0,NA,NA,NA,NA,NA,NA,NA
20187093,Chionoecetes opilio,1,85.11,18.06,4,NA,NA,NA,bld samples swapped on plate - correct data here,NA,NA,2018,6,EBS,SAP,NA,70,E12,Blood,EtOH 100%,Available,201801_94_133,201801,94,133,0,0,NA,NA,NA,NA,NA,NA,NA
20187094,Chionoecetes opilio,1,64.07,13.05,4,NA,NA,NA,NA,NA,0,2018,6,EBS,SAP,NA,70,F12,Blood,EtOH 100%,Available,201801_94_133,201801,94,133,0,1,1.9,2.09,1,NA,8280,0,0
20187095,Chionoecetes opilio,1,63.02,14.61,4,NA,NA,NA,left chela claw data,NA,0,2018,6,EBS,SAP,NA,70,G12,Blood,EtOH 100%,Available,201801_94_133,201801,94,133,0,1,5.1,1.78,1,NA,8294,0,0
20187096,Chionoecetes opilio,1,92.39,22.91,2,NA,NA,NA,NA,NA,0,2018,6,EBS,SAP,NA,70,H12,Blood,EtOH 100%,Available,201801_94_133,201801,94,133,0,1,8.7,1.66,1,NA,8298,0,0
20187101,Chionoecetes opilio,1,62.67,14.17,3,NA,NA,NA,Double sample taken?,NA,NA,2018,6,EBS,SAP,NA,71,A1,Blood,EtOH 100%,Available,201801_94_133,201801,94,133,0,0,NA,NA,NA,NA,NA,NA,NA
20187102,Chionoecetes opilio,1,64.91,12.61,4,NA,NA,NA,Double sample taken?,NA,NA,2018,6,EBS,SAP,NA,71,B1,Blood,EtOH 100%,Available,201801_94_133,201801,94,133,0,0,NA,NA,NA,NA,NA,NA,NA
20187103,Chionoecetes opilio,1,63.72,14.83,4,NA,NA,NA,Double sample taken?,NA,NA,2018,6,EBS,SAP,NA,71,C1,Blood,EtOH 100%,Available,201801_94_133,201801,94,133,0,0,NA,NA,NA,NA,NA,NA,NA
20187104,Chionoecetes opilio,1,59.18,12.7,4,NA,NA,NA,Double sample taken?,NA,NA,2018,6,EBS,SAP,NA,71,D1,Blood,EtOH 100%,Available,201801_94_133,201801,94,133,0,0,NA,NA,NA,NA,NA,NA,NA
20187105,Chionoecetes opilio,1,79.16,18.62,3,NA,NA,NA,Double sample taken?,NA,NA,2018,6,EBS,SAP,NA,71,E1,Blood,EtOH 100%,Available,201801_94_133,201801,94,133,0,0,NA,NA,NA,NA,NA,NA,NA
20187106,Chionoecetes opilio,1,92.17,22.16,2,NA,NA,NA,Double sample taken?,NA,NA,2018,NA,EBS,SAP,NA,71,F1,Blood,EtOH 100%,Available,201801_94_136,201801,94,136,0,0,NA,NA,NA,NA,NA,NA,NA
20187107,Chionoecetes opilio,1,86.94,21.36,2,NA,NA,NA,Double sample taken?,NA,NA,2018,NA,EBS,SAP,NA,71,G1,Blood,EtOH 100%,Available,201801_94_136,201801,94,136,0,0,NA,NA,NA,NA,NA,NA,NA
20187108,Chionoecetes opilio,1,86.36,21.04,3,NA,NA,NA,Double sample taken?,NA,NA,2018,NA,EBS,SAP,NA,71,H1,Blood,EtOH 100%,Available,201801_94_136,201801,94,136,0,0,NA,NA,NA,NA,NA,NA,NA
20187109,Chionoecetes opilio,1,82.68,13.56,3,NA,NA,NA,Double sample taken?,NA,NA,2018,NA,EBS,SAP,NA,71,A2,Blood,EtOH 100%,Available,201801_94_136,201801,94,136,0,0,NA,NA,NA,NA,NA,NA,NA
20187110,Chionoecetes opilio,1,77.03,17.15,2,NA,NA,NA,Double sample taken?,NA,NA,2018,NA,EBS,SAP,NA,71,B2,Blood,EtOH 100%,Available,201801_94_136,201801,94,136,0,0,NA,NA,NA,NA,NA,NA,NA
20187111,Chionoecetes opilio,1,77.9,17.46,3,NA,NA,NA,Double sample taken?,NA,NA,2018,NA,EBS,SAP,NA,71,C2,Blood,EtOH 100%,Available,201801_94_136,201801,94,136,0,0,NA,NA,NA,NA,NA,NA,NA
20187112,Chionoecetes opilio,1,69.23,16.14,2,NA,NA,NA,Double sample taken?,NA,NA,2018,NA,EBS,SAP,NA,71,D2,Blood,EtOH 100%,Available,201801_94_136,201801,94,136,0,0,NA,NA,NA,NA,NA,NA,NA
20187113,Chionoecetes opilio,1,85.4,19.22,3,NA,NA,NA,Double sample taken?,NA,NA,2018,NA,EBS,SAP,NA,71,E2,Blood,EtOH 100%,Available,201801_94_136,201801,94,136,0,0,NA,NA,NA,NA,NA,NA,NA
20187114,Chionoecetes opilio,1,77.64,17.86,4,NA,NA,NA,Double sample taken?,NA,NA,2018,NA,EBS,SAP,NA,71,F2,Blood,EtOH 100%,Available,201801_94_136,201801,94,136,0,0,NA,NA,NA,NA,NA,NA,NA
20187115,Chionoecetes opilio,1,86.22,19.19,4,NA,NA,NA,Double sample taken?,NA,NA,2018,NA,EBS,SAP,NA,71,G2,Blood,EtOH 100%,Available,201801_94_136,201801,94,136,0,0,NA,NA,NA,NA,NA,NA,NA
20187116,Chionoecetes opilio,1,56.82,12.08,2,NA,NA,NA,Double sample taken?,NA,NA,2018,6,EBS,SAP,NA,71,H2,Blood,EtOH 100%,Available,201801_94_137,201801,94,137,0,0,NA,NA,NA,NA,NA,NA,NA
20187117,Chionoecetes opilio,1,56.69,10.56,2,NA,NA,NA,NA,NA,0,2018,6,EBS,SAP,NA,71,A3,Blood,EtOH 100%,Available,201801_94_137,201801,94,137,0,1,18.2,1.86,1,NA,8299,0,0
20187118,Chionoecetes opilio,1,69.25,15.52,2,NA,NA,NA,NA,NA,0,2018,6,EBS,SAP,NA,71,B3,Blood,EtOH 100%,Available,201801_94_137,201801,94,137,0,1,8,1.7,1,NA,8251,0,0
20187119,Chionoecetes opilio,1,45.86,9.24,2,NA,NA,NA,NA,NA,0,2018,6,EBS,SAP,NA,71,C3,Blood,EtOH 100%,Available,201801_94_137,201801,94,137,0,1,13.5,1.91,1,NA,8266,0,0
20187121,Chionoecetes opilio,1,58.77,11.67,2,NA,NA,NA,NA,387,0,2018,6,EBS,SAP,NA,71,E3,Blood,EtOH 100%,Available,201801_94_137,201801,94,137,1,1,291.5,2.02,1,NA,8284,0,0
